id,title,company,location,description,salary_min,salary_max,contract_type,category,posted_date,apply_link,source,link_status,processed,collected_at
5505431201,Full Stack Python Developer (FSPD),Gamut HR Solutions,"Hyderabad, Telangana","Company Overview Gamut HR Solutions is dedicated to assisting individuals in finding the perfect job that suits their skills and aspirations. With a small and dynamic team, headquartered in Hyderabad, we provide personalized services to connect talented professionals with the right opportunities. Mo",240000.0,480000.0,N/A,IT Jobs,2025-11-20T22:37:32Z,https://www.adzuna.in/details/5505431201?utm_medium=api&utm_source=31d4fa12,Adzuna,found,False,2025-11-21T00:18:37.998731
5505419012,Product Software Engineer - AI/UI Product Engineering,Wolters Kluwer,India,"Experience: · Minimum of 4 years of experience in the software industry · Experience in working in agile teams using technologies like Python, Node.JS, React.Js, typescript and different kind of datastores. · Experience with creating agentic AI in Python. This involves creating autonomous AI agents ",,,N/A,IT Jobs,2025-11-20T22:36:04Z,https://www.adzuna.in/details/5505419012?utm_medium=api&utm_source=31d4fa12,Adzuna,found,False,2025-11-21T00:18:37.998731
5505367681,"Full Stack Developer (JavaScript  Python) (Remote, Full-Time), India [U001]",Smart Working Solutions,India,"About Smart Working At Smart Working, we believe work should fit your life—not the other way around. This isn’t just another remote role; it’s an invitation to join a global team where you’re seen, supported, and empowered every single day. Our mission is to break down geographic barriers and connec",,,N/A,IT Jobs,2025-11-20T22:31:06Z,https://www.adzuna.in/details/5505367681?utm_medium=api&utm_source=31d4fa12,Adzuna,found,False,2025-11-21T00:18:37.998731
5504544285,Full Stack Engineer,Innova ESI,India,"Full Stack Developer - Angular Python demand- 5-7 yrs About the Role Good design and architecture skills, good knowledge and experience working with and adapting design and architecture patterns. Responsibilities Experience in building application UI using Angular, HTML5 and CSS3. Experience with SO",,,N/A,IT Jobs,2025-11-20T08:24:07Z,https://www.adzuna.in/land/ad/5504544285?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=0DAA759D64C2C9FC7619611BEAD41C609434DF29,Adzuna,found,False,2025-11-21T00:18:37.998731
5504544264,Python And React Full Stack Developer,Webassic IT Solutions,India," Hiring: Python  React Full Stack Developer (3–4 Years Experience) Location: On-site, Pune (Webassic IT Solutions Pvt. Ltd.) Engagement: Permanent We’re bringing in a strong full-stack engineer who can ship fast, take ownership, and use AI tools to accelerate development. Must-Have Skills: • 3–4 yea",,,permanent,IT Jobs,2025-11-20T08:24:06Z,https://www.adzuna.in/land/ad/5504544264?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=A7734BA921C1E4512CF4A22D864CF146EA0C6857,Adzuna,found,False,2025-11-21T00:18:37.998731
5504543517,Python Developer,Rainier Softech Solutions Pvt Ltd,India,We are looking for a 5-10 years experienced professional who fits in the below skills: Job Description Looking for a skilled Python Full Stack Developer with additional expertise in .NET. Primary Skills are Strong in Python and Django Hands-on experience with API integration and development Solid un,,,N/A,IT Jobs,2025-11-20T08:23:45Z,https://www.adzuna.in/land/ad/5504543517?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=24C5FDE90878CFE3A1626C8898AF9C9402823C3E,Adzuna,found,False,2025-11-21T00:18:37.998731
5504543208,Full Stack Developer (Python),BeamX TechLabs,India,Job Code: BTL-2511105 Job Title: Full Stack Developer (Python & React) Experience: 1 - 3 Years Mode: Work from office Location: Hyderabad About the Company: BeamX TechLabs Pvt Ltd. is a leading technology company specialising in software development and IT solutions. We focus on innovation and cutti,,,N/A,IT Jobs,2025-11-20T08:23:39Z,https://www.adzuna.in/land/ad/5504543208?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=B8CCF24825352653C5BDCBF490D69232549B9224,Adzuna,found,False,2025-11-21T00:18:37.998731
5504542712,Python Developer,HonestAI - Building AI Powered Apps & Agentifying Companies,India,"Company Description At HonestAI-GrayCyan, we specialize in turning the promise of Artificial Intelligence into practical results. We deliver tailored AI solutions and Agents to build AI-powered SaaS Tech Apps, streamline operations, personalize customer experiences, and unlock insights from data. Ou",,,N/A,IT Jobs,2025-11-20T08:23:21Z,https://www.adzuna.in/land/ad/5504542712?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=C2B385186C56C7935B2D991FB812281E8E9A6619,Adzuna,found,False,2025-11-21T00:18:37.998731
5504542625,Python Full Stack Developer,Vichara Technologies,India,"Responsibilities Design, develop, and maintain backend services using Python (FastAPI/Flask) . Build and optimize RESTful and GraphQL APIs for scalable applications. Develop integrations with Large Language Models (LLMs) using frameworks such as LangChain and LlamaIndex . Enhance and maintain the Re",,,N/A,IT Jobs,2025-11-20T08:23:20Z,https://www.adzuna.in/land/ad/5504542625?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=56FA6FD4D2E2092FE202913C4984848A034DEB84,Adzuna,found,False,2025-11-21T00:18:37.998731
5504542221,Full stack Architect-Python development,Technogen India Pvt. Ltd.,India,"Role: Full stack Architect-Python development Experience: 8-15 Years Notice Period: Immediate-30 Days Skills: Python coding, Django, terraforms, AWS, Gen AI (Good to have) Skills Required: Bachelor of Science degree in Computer Science, similar technical field of study or equivalent practical experi",,,N/A,IT Jobs,2025-11-20T08:22:59Z,https://www.adzuna.in/land/ad/5504542221?se=miXZhUHG8BGp_ugtJPcTTg&utm_medium=api&utm_source=31d4fa12&v=9607CB039E65E7D784B52DC9D7D6190D32EBB061,Adzuna,found,False,2025-11-21T00:18:37.998731
